ID,description
banana_000,"An vibrant yellow arched fruit featuring a supple, luscious flesh that grows in tropical regions."
banana_001,"A vibrant yellow equatorial fruit with a curved shape, known for its creamy texture and natural candy-likeness."
banana_002,"An elongated pale yellow fruit with a distinctive curve, featuring sleek skin and tender, sweet interior."
banana_003,"An bright deep yellow fruit with a gentle curve, offering a mellow texture and naturally candy-like flavor."
banana_004,"A equatorial vibrant yellow fruit characterized by its bent form and creamy, pleasant-tasting flesh."
banana_005,"A vibrant sunny yellow fruit featuring a arched appearance, known for its gentle texture and delightful candy-likeness."
banana_006,"An elegant deep yellow fruit with a graceful curve, featuring lustrous skin and rich, pleasant pulp."
banana_007,"A sunny sunny yellow fruit with a distinctive bend, offering a creamy consistency and natural sugar content."
banana_008,"A golden bright yellow fruit with a curved shape, prized for its delicate texture and sweet, warm-climate flavor."
banana_009,"An bright cheerful yellow exotic fruit with an elongated curve, featuring tender flesh and natural honeyedness."
banana_010,"A bright yellow bent fruit featuring a gentle, pleasant flesh that grows in equatorial regions."
banana_011,"A vivid yellow warm-climate fruit with a bent shape, known for its creamy texture and natural sweetness."
banana_012,"An elongated bright yellow fruit with a distinctive curve, featuring glossy skin and tender, luscious interior."
banana_013,"A bright deep yellow fruit with a gentle curve, offering a delicate texture and naturally pleasant flavor."
banana_014,"A warm-climate vibrant yellow fruit characterized by its arched form and creamy, luscious-tasting flesh."
banana_015,"An vibrant golden fruit featuring a arched appearance, known for its supple texture and delightful pleasantness."
banana_016,"An elegant yellow fruit with a graceful curve, featuring glossy skin and rich, luscious pulp."
banana_017,"A sunny yellow fruit with a distinctive bend, offering a creamy consistency and natural sugar content."
banana_018,"An golden pale yellow fruit with a arched shape, prized for its soft texture and sugary, equatorial flavor."
banana_019,"A bright vibrant yellow equatorial fruit with an elongated curve, featuring tender flesh and natural sweetness."
banana_020,"A deep yellow curved fruit featuring a supple, luscious flesh that grows in equatorial regions."
banana_021,"An cheerful yellow warm-climate fruit with a hooked shape, prized for its creamy texture and natural sweetness."
banana_022,"An elongated cheerful yellow fruit with a distinctive curve, featuring shiny skin and tender, honeyed interior."
banana_023,"A bright bright yellow fruit with a gentle curve, offering a supple texture and naturally luscious flavor."
banana_024,"An tropical brilliant yellow fruit characterized by its bent form and creamy, luscious-tasting flesh."
banana_025,"A vibrant sunny yellow fruit featuring a arched appearance, known for its soft texture and delightful candy-likeness."
banana_026,"An elegant pale yellow fruit with a graceful curve, featuring glossy skin and rich, sweet pulp."
banana_027,"An sunny pale yellow fruit with a distinctive bend, offering a creamy consistency and natural sugar content."
banana_028,"A golden vivid yellow fruit with a crescent-shaped shape, prized for its gentle texture and sugary, equatorial flavor."
banana_029,"A bright bright yellow warm-climate fruit with an elongated curve, featuring tender flesh and natural lusciousness."
banana_030,"An bright yellow crescent-shaped fruit featuring a tender, delightful flesh that grows in tropical regions."
banana_031,"A cheerful yellow exotic fruit with a arched shape, known for its creamy texture and natural candy-likeness."
banana_032,"An elongated brilliant yellow fruit with a distinctive curve, featuring sleek skin and tender, delightful interior."
banana_033,"An bright cheerful yellow fruit with a gentle curve, providing a mellow texture and naturally delightful flavor."
banana_034,"A tropical brilliant yellow fruit characterized by its hooked form and creamy, sweet-tasting flesh."
banana_035,"A vibrant golden fruit featuring a crescent-shaped appearance, prized for its mellow texture and delightful delightfulness."
banana_036,"An elegant sunny yellow fruit with a graceful curve, featuring smooth skin and rich, candy-like pulp."
banana_037,"A sunny cheerful yellow fruit with a distinctive bend, offering a creamy consistency and natural sugar content."
banana_038,"A golden cheerful yellow fruit with a bent shape, prized for its delicate texture and sugary, equatorial flavor."
banana_039,"An bright vivid yellow tropical fruit with an elongated curve, featuring tender flesh and natural candy-likeness."
banana_040,"A yellow bent fruit featuring a tender, candy-like flesh that grows in warm-climate regions."
banana_041,"A pale yellow tropical fruit with a hooked shape, known for its creamy texture and natural honeyedness."
banana_042,"An elongated vibrant yellow fruit with a distinctive curve, featuring shiny skin and tender, honeyed interior."
banana_043,"A bright golden fruit with a gentle curve, offering a mellow texture and naturally luscious flavor."
banana_044,"A exotic brilliant yellow fruit characterized by its curved form and creamy, honeyed-tasting flesh."
banana_045,"An vibrant deep yellow fruit featuring a arched appearance, known for its mellow texture and delightful honeyedness."
banana_046,"An elegant vibrant yellow fruit with a graceful curve, featuring lustrous skin and rich, pleasant pulp."
banana_047,"A sunny pale yellow fruit with a distinctive bend, offering a creamy consistency and natural sugar content."
banana_048,"An golden deep yellow fruit with a arched shape, prized for its soft texture and honeyed, exotic flavor."
banana_049,"A bright sunny yellow equatorial fruit with an elongated curve, featuring tender flesh and natural lusciousness."
banana_050,"A sunny yellow hooked fruit featuring a gentle, sweet flesh that grows in tropical regions."
banana_051,"An sunny yellow exotic fruit with a bent shape, known for its creamy texture and natural sugaryness."
banana_052,"An elongated vibrant yellow fruit with a distinctive curve, featuring glossy skin and tender, pleasant interior."
banana_053,"A bright deep yellow fruit with a gentle curve, offering a supple texture and naturally luscious flavor."
banana_054,"An warm-climate cheerful yellow fruit characterized by its bent form and creamy, candy-like-tasting flesh."
banana_055,"A vibrant vivid yellow fruit featuring a crescent-shaped appearance, known for its mellow texture and delightful sugaryness."
banana_056,"An elegant golden fruit with a graceful curve, featuring glossy skin and rich, delightful pulp."
banana_057,"An sunny yellow fruit with a distinctive bend, offering a creamy consistency and natural sugar content."
banana_058,"A golden yellow fruit with a arched shape, prized for its soft texture and pleasant, equatorial flavor."
banana_059,"A bright deep yellow exotic fruit with an elongated curve, featuring tender flesh and natural sugaryness."
banana_060,"An brilliant yellow crescent-shaped fruit featuring a mellow, sugary flesh that grows in warm-climate regions."
banana_061,"A deep yellow warm-climate fruit with a curved shape, known for its creamy texture and natural pleasantness."
banana_062,"An elongated vibrant yellow fruit with a distinctive curve, featuring silky skin and tender, luscious interior."
banana_063,"An bright deep yellow fruit with a gentle curve, offering a supple texture and naturally sugary flavor."
banana_064,"A warm-climate pale yellow fruit characterized by its bent form and creamy, luscious-tasting flesh."
banana_065,"A vibrant cheerful yellow fruit featuring a curved appearance, known for its gentle texture and delightful sweetness."
banana_066,"An elegant sunny yellow fruit with a graceful curve, featuring shiny skin and rich, sugary pulp."
banana_067,"A sunny brilliant yellow fruit with a distinctive bend, offering a creamy consistency and natural sugar content."
banana_068,"A golden deep yellow fruit with a curved shape, prized for its soft texture and sugary, tropical flavor."
banana_069,"An bright vivid yellow exotic fruit with an elongated curve, featuring tender flesh and natural pleasantness."
banana_070,"A vibrant yellow crescent-shaped fruit featuring a delicate, pleasant flesh that grows in exotic regions."
banana_071,"A golden warm-climate fruit with a hooked shape, known for its creamy texture and natural delightfulness."
banana_072,"An elongated golden fruit with a distinctive curve, featuring glossy skin and tender, delightful interior."
banana_073,"A bright yellow fruit with a gentle curve, offering a soft texture and naturally sugary flavor."
banana_074,"A tropical golden fruit characterized by its arched form and creamy, candy-like-tasting flesh."
banana_075,"An vibrant pale yellow fruit featuring a arched appearance, known for its delicate texture and delightful sugaryness."
banana_076,"An elegant sunny yellow fruit with a graceful curve, featuring smooth skin and rich, luscious pulp."
banana_077,"A sunny yellow fruit with a distinctive bend, providing a creamy consistency and natural sugar content."
banana_078,"An golden deep yellow fruit with a crescent-shaped shape, prized for its supple texture and delightful, equatorial flavor."
banana_079,"A bright pale yellow warm-climate fruit with an elongated curve, featuring tender flesh and natural lusciousness."
banana_080,"A brilliant yellow bent fruit featuring a delicate, honeyed flesh that grows in equatorial regions."
