ID,label,weight_gr,color,season,origin
banana_000,Banana,120,Yellow,Winter,Costa Rica
banana_001,Banana,123,Yellow,Summer,Ecuador
banana_002,Banana,101,Yellow,Summer,Costa Rica
banana_003,Banana,120,Green,Winter,Ecuador
banana_004,Banana,124,Yellow,Spring,Ecuador
banana_005,Banana,127,Yellow,Spring,Ecuador
banana_006,Banana,150,Brown,Summer,Ecuador
banana_007,Banana,136,Yellow,Winter,Brazil
banana_008,Banana,103,Yellow,Summer,Ecuador
banana_009,Banana,125,Brown,Spring,Brazil
banana_010,Banana,106,Yellow,Spring,Brazil
banana_011,Banana,116,Yellow,Fall,Ecuador
banana_012,Banana,105,Yellow,Spring,Brazil
banana_013,Banana,117,Yellow,Spring,Ecuador
banana_014,Banana,113,Green,Winter,Turkey
banana_015,Banana,139,Green,Summer,Brazil
banana_016,Banana,123,Green,Fall,Brazil
banana_017,Banana,140,Yellow,Summer,Brazil
banana_018,Banana,108,Yellow,Summer,Ecuador
banana_019,Banana,110,Green,Summer,Ecuador
banana_020,Banana,104,Yellow,Fall,Costa Rica
banana_021,Banana,108,Brown,Spring,Turkey
banana_022,Banana,122,Yellow,Summer,Ecuador
banana_023,Banana,121,Yellow,Spring,Brazil
banana_024,Banana,113,Green,Spring,Ecuador
banana_025,Banana,113,Green,Fall,Ecuador
banana_026,Banana,141,Yellow,Spring,Brazil
banana_027,Banana,148,Yellow,Summer,Turkey
banana_028,Banana,122,Yellow,Spring,Turkey
banana_029,Banana,112,Yellow,Spring,Ecuador
banana_030,Banana,101,Yellow,Summer,Ecuador
banana_031,Banana,127,Yellow,Summer,Ecuador
banana_032,Banana,110,Green,Summer,Turkey
banana_033,Banana,132,Yellow,Summer,Brazil
banana_034,Banana,112,Yellow,Spring,Ecuador
banana_035,Banana,108,Green,Summer,Brazil
banana_036,Banana,123,Yellow,Spring,Ecuador
banana_037,Banana,140,Brown,Summer,Brazil
banana_038,Banana,111,Yellow,Summer,Ecuador
banana_039,Banana,148,Yellow,Spring,Brazil
banana_040,Banana,127,Brown,Summer,Spain
banana_041,Banana,118,Yellow,Summer,Turkey
banana_042,Banana,105,Yellow,Spring,Brazil
banana_043,Banana,116,Yellow,Spring,Costa Rica
banana_044,Banana,105,Green,Summer,Costa Rica
banana_045,Banana,108,Yellow,Fall,Costa Rica
banana_046,Banana,119,Yellow,Summer,Ecuador
banana_047,Banana,118,Yellow,Summer,Costa Rica
banana_048,Banana,139,Yellow,Summer,Turkey
banana_049,Banana,127,Yellow,Winter,Ecuador
banana_050,Banana,141,Green,Summer,Brazil
banana_051,Banana,148,Yellow,Spring,Costa Rica
banana_052,Banana,136,Yellow,Summer,Turkey
banana_053,Banana,118,Green,Summer,Ecuador
banana_054,Banana,132,Green,Fall,Turkey
banana_055,Banana,137,Yellow,Summer,Ecuador
banana_056,Banana,124,Yellow,Spring,Brazil
banana_057,Banana,117,Yellow,Summer,Ecuador
banana_058,Banana,135,Yellow,Spring,Spain
banana_059,Banana,119,Green,Summer,Brazil
banana_060,Banana,132,Yellow,Fall,Costa Rica
banana_061,Banana,121,Yellow,Spring,Costa Rica
banana_062,Banana,107,Yellow,Winter,Brazil
banana_063,Banana,127,Yellow,Fall,Brazil
banana_064,Banana,147,Yellow,Fall,Ecuador
banana_065,Banana,116,Yellow,Summer,Costa Rica
banana_066,Banana,105,Brown,Spring,Ecuador
banana_067,Banana,148,Yellow,Summer,Turkey
banana_068,Banana,120,Yellow,Spring,Spain
banana_069,Banana,117,Yellow,Summer,Brazil
banana_070,Banana,139,Yellow,Winter,Costa Rica
banana_071,Banana,122,Yellow,Summer,Costa Rica
banana_072,Banana,116,Yellow,Spring,Turkey
banana_073,Banana,138,Green,Summer,Costa Rica
banana_074,Banana,124,Yellow,Fall,Costa Rica
banana_075,Banana,135,Yellow,Summer,Ecuador
banana_076,Banana,115,Green,Spring,Costa Rica
banana_077,Banana,133,Yellow,Fall,Ecuador
banana_078,Banana,124,Yellow,Spring,Ecuador
banana_079,Banana,121,Yellow,Winter,Costa Rica
banana_080,Banana,142,Yellow,Summer,Brazil
banana_081,Banana,143,Yellow,Spring,Costa Rica
banana_082,Banana,131,Brown,Spring,Costa Rica
banana_083,Banana,115,Yellow,Spring,Costa Rica
banana_084,Banana,116,Brown,Spring,Brazil
banana_085,Banana,125,Yellow,Spring,Costa Rica
banana_086,Banana,108,Yellow,Winter,Costa Rica
banana_087,Banana,146,Yellow,Summer,Turkey
banana_088,Banana,139,Yellow,Spring,Costa Rica
banana_089,Banana,104,Brown,Spring,Brazil
banana_090,Banana,115,Yellow,Spring,Ecuador
banana_091,Banana,127,Yellow,Summer,Brazil
banana_092,Banana,104,Yellow,Summer,Turkey
banana_093,Banana,138,Yellow,Summer,Brazil
banana_094,Banana,109,Yellow,Spring,Costa Rica
banana_095,Banana,109,Brown,Fall,Ecuador
banana_096,Banana,104,Yellow,Spring,Turkey
banana_097,Banana,101,Yellow,Spring,Turkey
banana_098,Banana,123,Yellow,Spring,Turkey
banana_099,Banana,150,Yellow,Spring,Ecuador
banana_100,Banana,139,Green,Spring,Costa Rica
banana_101,Banana,130,Brown,Summer,Ecuador
banana_102,Banana,122,Yellow,Summer,Costa Rica
banana_103,Banana,125,Yellow,Summer,Costa Rica
banana_104,Banana,149,Yellow,Summer,Brazil
banana_105,Banana,120,Yellow,Fall,Costa Rica
banana_106,Banana,123,Brown,Spring,Brazil
banana_107,Banana,117,Green,Winter,Brazil
banana_108,Banana,131,Yellow,Spring,Turkey
banana_109,Banana,124,Green,Spring,Costa Rica
banana_110,Banana,119,Yellow,Summer,Brazil
banana_111,Banana,148,Green,Summer,Turkey
banana_112,Banana,108,Yellow,Winter,Costa Rica
banana_113,Banana,118,Yellow,Winter,Spain
banana_114,Banana,111,Yellow,Summer,Ecuador
banana_115,Banana,122,Yellow,Spring,Costa Rica
banana_116,Banana,138,Green,Summer,Turkey
banana_117,Banana,128,Brown,Summer,Costa Rica
banana_118,Banana,109,Yellow,Summer,Ecuador
banana_119,Banana,145,Green,Fall,Costa Rica
banana_120,Banana,101,Green,Summer,Costa Rica
banana_121,Banana,147,Yellow,Summer,Spain
banana_122,Banana,106,Green,Fall,Ecuador
banana_123,Banana,130,Brown,Fall,Brazil
banana_124,Banana,109,Yellow,Summer,Costa Rica
banana_125,Banana,112,Brown,Summer,Brazil
banana_126,Banana,107,Yellow,Spring,Costa Rica
banana_127,Banana,112,Yellow,Spring,Costa Rica
banana_128,Banana,124,Yellow,Spring,Brazil
banana_129,Banana,143,Green,Summer,Spain
banana_130,Banana,115,Brown,Spring,Brazil
banana_131,Banana,134,Yellow,Winter,Ecuador
banana_132,Banana,148,Yellow,Summer,Ecuador
banana_133,Banana,102,Yellow,Spring,Costa Rica
banana_134,Banana,131,Brown,Summer,Ecuador
banana_135,Banana,107,Yellow,Summer,Ecuador
banana_136,Banana,149,Yellow,Spring,Brazil
banana_137,Banana,126,Yellow,Summer,Ecuador
banana_138,Banana,119,Yellow,Spring,Brazil
banana_139,Banana,134,Yellow,Summer,Ecuador
banana_140,Banana,146,Green,Winter,Costa Rica
banana_141,Banana,144,Brown,Summer,Turkey
banana_142,Banana,117,Yellow,Spring,Costa Rica
banana_143,Banana,124,Brown,Summer,Brazil
banana_144,Banana,133,Brown,Fall,Costa Rica
banana_145,Banana,105,Yellow,Summer,Ecuador
banana_146,Banana,102,Yellow,Spring,Costa Rica
banana_147,Banana,109,Yellow,Fall,Turkey
banana_148,Banana,100,Yellow,Summer,Ecuador
banana_149,Banana,148,Brown,Spring,Ecuador
banana_150,Banana,138,Green,Summer,Ecuador
