ID,label,outlier_score
tomato_008,Tomato,5.740453909119925e-05
banana_338,Banana,4.3299660629880776e-05
cucumber_574,Cucumber,2.6344911166042984e-05
banana_089,Banana,2.3723984527546094e-05
potato_118,Potato,2.199778489275772e-05
potato_044,Potato,2.0375391574845025e-05
potato_046,Potato,2.000004080815465e-05
mandarin_139,Mandarin,1.93696113924835e-05
potato_438,Potato,1.909458562865396e-05
banana_457,Banana,1.9064091870912847e-05
banana_156,Banana,1.6366533513556547e-05
banana_351,Banana,1.5255228936306153e-05
banana_196,Banana,1.4387359599243865e-05
potato_256,Potato,1.350695287061221e-05
banana_448,Banana,1.3157804888308533e-05
mandarin_016,Mandarin,1.259044025203604e-05
banana_068,Banana,1.2265050021387225e-05
potato_340,Potato,1.1690117857954263e-05
banana_125,Banana,1.1484253463978078e-05
cucumber_175,Cucumber,1.1315075623907767e-05
potato_071,Potato,1.0890423015830208e-05
banana_394,Banana,1.0871395591527389e-05
potato_149,Potato,1.0859257397966005e-05
potato_030,Potato,1.076525230403469e-05
mandarin_194,Mandarin,1.0661325654859333e-05
cucumber_043,Cucumber,1.0524075882645256e-05
tomato_039,Tomato,1.0386433274445217e-05
potato_142,Potato,1.016399700515258e-05
potato_248,Potato,9.975891284597083e-06
tomato_013,Tomato,9.647011976920972e-06
cucumber_042,Cucumber,9.096311648248978e-06
banana_000,Banana,9.047611658319354e-06
potato_072,Potato,9.029272592275817e-06
cucumber_029,Cucumber,8.842684051102445e-06
cucumber_270,Cucumber,8.30563586606825e-06
banana_297,Banana,8.22053180504767e-06
potato_031,Potato,8.21870420830706e-06
banana_112,Banana,8.19906128901593e-06
cucumber_014,Cucumber,7.952339274308606e-06
mandarin_276,Mandarin,7.835012682089193e-06
mandarin_077,Mandarin,7.785844269414532e-06
banana_025,Banana,7.736757778875614e-06
cucumber_025,Cucumber,7.493873376174243e-06
tomato_010,Tomato,7.4214684345763615e-06
mandarin_387,Mandarin,7.3413198061755836e-06
mandarin_268,Mandarin,6.909440457669724e-06
banana_151,Banana,6.794887916994341e-06
banana_021,Banana,6.722629043220962e-06
potato_251,Potato,6.560134481636837e-06
mandarin_321,Mandarin,6.458062047243196e-06
banana_599,Banana,6.335374163279894e-06
banana_039,Banana,6.315568254811055e-06
mandarin_075,Mandarin,6.302292434035017e-06
potato_111,Potato,6.289877015452916e-06
banana_592,Banana,6.2809100020988495e-06
mandarin_284,Mandarin,6.166751291281081e-06
banana_059,Banana,6.042433705166772e-06
banana_010,Banana,5.948248076759199e-06
mandarin_556,Mandarin,5.7772388469823355e-06
potato_099,Potato,5.6826580034918805e-06
mandarin_323,Mandarin,5.681739854268564e-06
banana_009,Banana,5.663277643064291e-06
tomato_501,Tomato,5.661227119868606e-06
banana_042,Banana,5.561752882243809e-06
banana_056,Banana,5.495646698605583e-06
tomato_022,Tomato,5.053901504736835e-06
banana_113,Banana,5.040650787879741e-06
tomato_020,Tomato,4.884486092815443e-06
mandarin_335,Mandarin,4.870947977742013e-06
banana_020,Banana,4.813366862643775e-06
tomato_121,Tomato,4.7589202051279145e-06
banana_026,Banana,4.7181267408547e-06
banana_048,Banana,4.649387576050046e-06
potato_237,Potato,4.592068490572032e-06
banana_044,Banana,4.569135028331672e-06
banana_087,Banana,4.5088873290577425e-06
mandarin_207,Mandarin,4.47765681099721e-06
potato_170,Potato,4.416252088468298e-06
banana_558,Banana,4.357183333025816e-06
cucumber_384,Cucumber,4.039167143976563e-06
mandarin_094,Mandarin,4.035830798776452e-06
banana_080,Banana,3.918580484540968e-06
banana_270,Banana,3.7615586916395216e-06
banana_058,Banana,3.751144643127091e-06
banana_072,Banana,3.45094638398713e-06
mandarin_018,Mandarin,3.428056302046123e-06
tomato_038,Tomato,3.392912910293866e-06
tomato_166,Tomato,3.3769036958952725e-06
potato_106,Potato,3.3466937399140306e-06
banana_017,Banana,3.3065447639923917e-06
cucumber_462,Cucumber,3.2998825630903283e-06
potato_002,Potato,3.250814973876359e-06
mandarin_157,Mandarin,3.2302202955802883e-06
banana_287,Banana,3.224894757014596e-06
banana_212,Banana,3.1663149491212295e-06
potato_417,Potato,3.11252238449633e-06
banana_167,Banana,3.022829127452553e-06
mandarin_302,Mandarin,2.994985217719126e-06
mandarin_398,Mandarin,2.9734399406011747e-06
mandarin_346,Mandarin,2.8726859181427145e-06
tomato_035,Tomato,2.857514417864415e-06
cucumber_544,Cucumber,2.8323446014111298e-06
banana_011,Banana,2.7721655564416636e-06
mandarin_313,Mandarin,2.7708411710625214e-06
banana_501,Banana,2.587668554321354e-06
banana_224,Banana,2.5353012595985547e-06
potato_025,Potato,2.499858018145673e-06
mandarin_043,Mandarin,2.3985347267219126e-06
potato_252,Potato,2.3548316547827852e-06
potato_308,Potato,2.30386050881215e-06
mandarin_522,Mandarin,2.2858629816768783e-06
banana_337,Banana,2.2385974240979323e-06
mandarin_455,Mandarin,2.190164395066141e-06
mandarin_585,Mandarin,2.1796694028575203e-06
mandarin_210,Mandarin,2.148802503820768e-06
banana_532,Banana,2.122094310941236e-06
banana_257,Banana,2.1023837326605843e-06
mandarin_483,Mandarin,2.062315544226756e-06
mandarin_471,Mandarin,2.0608650753706215e-06
banana_018,Banana,1.9876928771811464e-06
tomato_545,Tomato,1.9596479970962477e-06
banana_239,Banana,1.952020822981737e-06
cucumber_395,Cucumber,1.94696955835294e-06
tomato_058,Tomato,1.8894938734748123e-06
mandarin_340,Mandarin,1.8701693015321652e-06
banana_395,Banana,1.8550481599710622e-06
tomato_062,Tomato,1.8316568474174844e-06
tomato_172,Tomato,1.8286366022524092e-06
banana_252,Banana,1.815194195176062e-06
tomato_019,Tomato,1.8087044909576022e-06
cucumber_419,Cucumber,1.8081876730358104e-06
banana_034,Banana,1.7792275577299677e-06
tomato_458,Tomato,1.7681011815762204e-06
potato_050,Potato,1.7083156005348599e-06
tomato_295,Tomato,1.6880410901309872e-06
mandarin_533,Mandarin,1.6684727389693066e-06
banana_014,Banana,1.664245727672764e-06
tomato_050,Tomato,1.6606755902648374e-06
