Classifier,Side,Index,Distance,True_Label
Banana vs Rest,Positive (+1),657,2.6265567706901973,Banana
Banana vs Rest,Negative (-1),1973,-3.4759338560635,Mandarin
Cucumber vs Rest,Positive (+1),1101,2.105708574838665,Cucumber
Cucumber vs Rest,Negative (-1),1340,-3.577977745634574,Mandarin
Mandarin vs Rest,Positive (+1),512,2.8801677635875294,Mandarin
Mandarin vs Rest,Negative (-1),43,-3.0261376795634987,Potato
Potato vs Rest,Positive (+1),1722,2.8266998809600317,Potato
Potato vs Rest,Negative (-1),2201,-3.2726386719409604,Mandarin
Tomato vs Rest,Positive (+1),1393,2.3511510716017914,Tomato
Tomato vs Rest,Negative (-1),226,-3.95403581106405,Mandarin
