sample_id,category,weight,color,season,origin
banana_000,banana,218.54,white,summer,local
banana_001,banana,379.4,white,autumn,local
banana_002,banana,120.21,green,winter,tropical
banana_003,banana,76.14,yellow,summer,tropical
banana_004,banana,320.5,red,summer,local
banana_005,banana,59.26,yellow,winter,local
banana_006,banana,424.6,orange,summer,tropical
banana_007,banana,131.82,green,spring,local
banana_008,banana,186.91,red,autumn,local
banana_009,banana,244.38,green,spring,imported
banana_010,banana,325.33,brown,winter,local
banana_011,banana,181.47,brown,summer,local
banana_012,banana,255.23,red,summer,imported
banana_013,banana,139.85,brown,autumn,local
banana_014,banana,651.89,white,spring,tropical
banana_015,banana,126.74,yellow,spring,local
banana_016,banana,477.0,orange,autumn,tropical
banana_017,banana,413.78,orange,autumn,tropical
banana_018,banana,93.95,green,summer,local
banana_019,banana,248.07,white,winter,imported
banana_020,banana,727.33,yellow,winter,local
banana_021,banana,166.45,red,autumn,imported
banana_022,banana,190.27,white,autumn,local
banana_023,banana,296.02,brown,autumn,local
banana_024,banana,486.31,white,autumn,tropical
tomato_000,tomato,234.2,orange,winter,tropical
tomato_001,tomato,153.48,green,autumn,imported
tomato_002,tomato,64.01,yellow,autumn,local
tomato_003,tomato,215.84,orange,spring,local
tomato_004,tomato,262.94,white,summer,tropical
tomato_005,tomato,133.49,brown,summer,tropical
tomato_006,tomato,399.47,orange,summer,imported
tomato_007,tomato,430.15,red,summer,tropical
tomato_008,tomato,331.8,red,autumn,imported
tomato_009,tomato,64.64,white,summer,imported
tomato_010,tomato,327.49,yellow,autumn,local
tomato_011,tomato,266.69,white,summer,tropical
tomato_012,tomato,106.33,white,autumn,local
tomato_013,tomato,243.64,yellow,autumn,tropical
tomato_014,tomato,271.22,brown,winter,tropical
tomato_015,tomato,311.89,red,spring,tropical
tomato_016,tomato,408.9,green,winter,local
tomato_017,tomato,518.11,white,spring,local
tomato_018,tomato,226.62,brown,winter,local
tomato_019,tomato,320.01,green,summer,imported
tomato_020,tomato,362.74,brown,spring,tropical
tomato_021,tomato,620.13,red,autumn,local
tomato_022,tomato,97.22,white,winter,imported
tomato_023,tomato,494.0,brown,summer,tropical
tomato_024,tomato,274.5,brown,autumn,local
cucumber_000,cucumber,331.81,white,winter,imported
cucumber_001,cucumber,230.8,red,summer,tropical
cucumber_002,cucumber,446.14,brown,autumn,local
cucumber_003,cucumber,306.22,yellow,spring,imported
cucumber_004,cucumber,140.59,orange,winter,local
cucumber_005,cucumber,67.76,red,summer,local
cucumber_006,cucumber,294.36,yellow,summer,local
cucumber_007,cucumber,483.81,green,winter,local
cucumber_008,cucumber,374.96,red,autumn,tropical
cucumber_009,cucumber,441.49,white,summer,tropical
cucumber_010,cucumber,405.73,orange,autumn,local
cucumber_011,cucumber,407.39,yellow,summer,local
cucumber_012,cucumber,444.69,white,spring,local
cucumber_013,cucumber,116.96,yellow,autumn,local
