sample_id,category,description
banana_0000,banana,banana kategorisinde bir örnek.
banana_0001,banana,banana kategorisinde bir örnek.
banana_0002,banana,banana kategorisinde bir örnek.
banana_0003,banana,banana kategorisinde bir örnek.
banana_0004,banana,banana kategorisinde bir örnek.
banana_0005,banana,banana kategorisinde bir örnek.
banana_0006,banana,banana kategorisinde bir örnek.
banana_0007,banana,banana kategorisinde bir örnek.
banana_0008,banana,banana kategorisinde bir örnek.
banana_0009,banana,banana kategorisinde bir örnek.
banana_0010,banana,banana kategorisinde bir örnek.
banana_0011,banana,banana kategorisinde bir örnek.
banana_0012,banana,banana kategorisinde bir örnek.
banana_0013,banana,banana kategorisinde bir örnek.
banana_0014,banana,banana kategorisinde bir örnek.
banana_0015,banana,banana kategorisinde bir örnek.
banana_0016,banana,banana kategorisinde bir örnek.
banana_0017,banana,banana kategorisinde bir örnek.
banana_0018,banana,banana kategorisinde bir örnek.
banana_0019,banana,banana kategorisinde bir örnek.
banana_0020,banana,banana kategorisinde bir örnek.
banana_0021,banana,banana kategorisinde bir örnek.
banana_0022,banana,banana kategorisinde bir örnek.
banana_0023,banana,banana kategorisinde bir örnek.
banana_0024,banana,banana kategorisinde bir örnek.
banana_0025,banana,banana kategorisinde bir örnek.
banana_0026,banana,banana kategorisinde bir örnek.
banana_0027,banana,banana kategorisinde bir örnek.
banana_0028,banana,banana kategorisinde bir örnek.
banana_0029,banana,banana kategorisinde bir örnek.
banana_0030,banana,banana kategorisinde bir örnek.
banana_0031,banana,banana kategorisinde bir örnek.
banana_0032,banana,banana kategorisinde bir örnek.
banana_0033,banana,banana kategorisinde bir örnek.
banana_0034,banana,banana kategorisinde bir örnek.
banana_0035,banana,banana kategorisinde bir örnek.
banana_0036,banana,banana kategorisinde bir örnek.
banana_0037,banana,banana kategorisinde bir örnek.
banana_0038,banana,banana kategorisinde bir örnek.
banana_0039,banana,banana kategorisinde bir örnek.
banana_0040,banana,banana kategorisinde bir örnek.
banana_0041,banana,banana kategorisinde bir örnek.
banana_0042,banana,banana kategorisinde bir örnek.
banana_0043,banana,banana kategorisinde bir örnek.
banana_0044,banana,banana kategorisinde bir örnek.
banana_0045,banana,banana kategorisinde bir örnek.
banana_0046,banana,banana kategorisinde bir örnek.
banana_0047,banana,banana kategorisinde bir örnek.
banana_0048,banana,banana kategorisinde bir örnek.
banana_0049,banana,banana kategorisinde bir örnek.
banana_0050,banana,banana kategorisinde bir örnek.
banana_0051,banana,banana kategorisinde bir örnek.
banana_0052,banana,banana kategorisinde bir örnek.
banana_0053,banana,banana kategorisinde bir örnek.
banana_0054,banana,banana kategorisinde bir örnek.
banana_0055,banana,banana kategorisinde bir örnek.
banana_0056,banana,banana kategorisinde bir örnek.
banana_0057,banana,banana kategorisinde bir örnek.
banana_0058,banana,banana kategorisinde bir örnek.
banana_0059,banana,banana kategorisinde bir örnek.
banana_0060,banana,banana kategorisinde bir örnek.
banana_0061,banana,banana kategorisinde bir örnek.
banana_0062,banana,banana kategorisinde bir örnek.
banana_0063,banana,banana kategorisinde bir örnek.
banana_0064,banana,banana kategorisinde bir örnek.
banana_0065,banana,banana kategorisinde bir örnek.
banana_0066,banana,banana kategorisinde bir örnek.
banana_0067,banana,banana kategorisinde bir örnek.
banana_0068,banana,banana kategorisinde bir örnek.
banana_0069,banana,banana kategorisinde bir örnek.
banana_0070,banana,banana kategorisinde bir örnek.
banana_0071,banana,banana kategorisinde bir örnek.
banana_0072,banana,banana kategorisinde bir örnek.
banana_0073,banana,banana kategorisinde bir örnek.
banana_0074,banana,banana kategorisinde bir örnek.
banana_0075,banana,banana kategorisinde bir örnek.
banana_0076,banana,banana kategorisinde bir örnek.
banana_0077,banana,banana kategorisinde bir örnek.
banana_0078,banana,banana kategorisinde bir örnek.
banana_0079,banana,banana kategorisinde bir örnek.
banana_0080,banana,banana kategorisinde bir örnek.
banana_0081,banana,banana kategorisinde bir örnek.
banana_0082,banana,banana kategorisinde bir örnek.
banana_0083,banana,banana kategorisinde bir örnek.
banana_0084,banana,banana kategorisinde bir örnek.
banana_0085,banana,banana kategorisinde bir örnek.
banana_0086,banana,banana kategorisinde bir örnek.
banana_0087,banana,banana kategorisinde bir örnek.
banana_0088,banana,banana kategorisinde bir örnek.
banana_0089,banana,banana kategorisinde bir örnek.
banana_0090,banana,banana kategorisinde bir örnek.
banana_0091,banana,banana kategorisinde bir örnek.
banana_0092,banana,banana kategorisinde bir örnek.
banana_0093,banana,banana kategorisinde bir örnek.
banana_0094,banana,banana kategorisinde bir örnek.
banana_0095,banana,banana kategorisinde bir örnek.
banana_0096,banana,banana kategorisinde bir örnek.
banana_0097,banana,banana kategorisinde bir örnek.
banana_0098,banana,banana kategorisinde bir örnek.
banana_0099,banana,banana kategorisinde bir örnek.
banana_0100,banana,banana kategorisinde bir örnek.
banana_0101,banana,banana kategorisinde bir örnek.
banana_0102,banana,banana kategorisinde bir örnek.
banana_0103,banana,banana kategorisinde bir örnek.
banana_0104,banana,banana kategorisinde bir örnek.
banana_0105,banana,banana kategorisinde bir örnek.
banana_0106,banana,banana kategorisinde bir örnek.
banana_0107,banana,banana kategorisinde bir örnek.
banana_0108,banana,banana kategorisinde bir örnek.
banana_0109,banana,banana kategorisinde bir örnek.
banana_0110,banana,banana kategorisinde bir örnek.
banana_0111,banana,banana kategorisinde bir örnek.
banana_0112,banana,banana kategorisinde bir örnek.
banana_0113,banana,banana kategorisinde bir örnek.
