sample_id,category,weight,color,season,origin
banana_0000,banana,218.54,white,summer,local
banana_0001,banana,379.4,white,autumn,local
banana_0002,banana,120.21,green,winter,tropical
banana_0003,banana,76.14,yellow,summer,tropical
banana_0004,banana,320.5,red,summer,local
banana_0005,banana,59.26,yellow,winter,local
banana_0006,banana,424.6,orange,summer,tropical
banana_0007,banana,131.82,green,spring,local
banana_0008,banana,186.91,red,autumn,local
banana_0009,banana,244.38,green,spring,imported
banana_0010,banana,325.33,brown,winter,local
banana_0011,banana,181.47,brown,summer,local
banana_0012,banana,255.23,red,summer,imported
banana_0013,banana,139.85,brown,autumn,local
banana_0014,banana,651.89,white,spring,tropical
banana_0015,banana,126.74,yellow,spring,local
banana_0016,banana,477.0,orange,autumn,tropical
banana_0017,banana,413.78,orange,autumn,tropical
banana_0018,banana,93.95,green,summer,local
banana_0019,banana,248.07,white,winter,imported
banana_0020,banana,727.33,yellow,winter,local
banana_0021,banana,166.45,red,autumn,imported
banana_0022,banana,190.27,white,autumn,local
banana_0023,banana,296.02,brown,autumn,local
banana_0024,banana,486.31,white,autumn,tropical
banana_0025,banana,472.77,white,summer,tropical
banana_0026,banana,319.05,white,winter,tropical
banana_0027,banana,89.82,white,winter,local
banana_0028,banana,70.35,red,spring,imported
banana_0029,banana,224.9,white,winter,tropical
banana_0030,banana,422.93,brown,summer,local
banana_0031,banana,176.42,yellow,autumn,imported
banana_0032,banana,113.42,brown,summer,local
banana_0033,banana,83.55,orange,autumn,local
banana_0034,banana,397.51,white,spring,imported
banana_0035,banana,52.48,white,spring,local
banana_0036,banana,368.09,brown,winter,local
banana_0037,banana,397.07,white,autumn,tropical
banana_0038,banana,211.31,orange,spring,tropical
banana_0039,banana,438.4,red,autumn,local
banana_0040,banana,198.9,green,spring,local
banana_0041,banana,189.94,yellow,summer,local
banana_0042,banana,378.32,white,winter,tropical
banana_0043,banana,449.25,red,summer,imported
banana_0044,banana,103.82,red,spring,tropical
banana_0045,banana,392.35,brown,summer,tropical
banana_0046,banana,396.94,white,summer,tropical
banana_0047,banana,285.23,orange,autumn,tropical
banana_0048,banana,61.44,brown,summer,imported
banana_0049,banana,64.14,red,winter,imported
banana_0050,banana,191.46,yellow,autumn,tropical
banana_0051,banana,458.4,green,summer,tropical
banana_0052,banana,234.67,brown,winter,local
banana_0053,banana,152.96,brown,winter,tropical
banana_0054,banana,180.39,orange,summer,tropical
banana_0055,banana,468.36,brown,spring,local
banana_0056,banana,335.03,yellow,autumn,imported
banana_0057,banana,411.65,green,summer,local
banana_0058,banana,451.65,orange,summer,local
banana_0059,banana,413.35,white,spring,local
banana_0060,banana,193.1,orange,winter,local
banana_0061,banana,152.57,white,spring,tropical
banana_0062,banana,418.11,green,autumn,tropical
banana_0063,banana,53.13,orange,spring,local
banana_0064,banana,237.83,orange,winter,tropical
